name,value,year,lastValue,rank
China,6137300,2022,3394860,1
China,3394860,2021,1265021,1
China,1265021,2020,1202027,1
China,1202027,2019,1298000,1
China,1298000,2018,819480,1
China,819480,2017,470005.1,1
China,470005.1,2016,363000,1
China,363000,2015,89920,1
USA,118000,2014,97000,1
USA,97000,2013,54000,1
USA,54000,2012,17800,1
USA,17800,2011,1200,1
China,3464.9,2010,0,1
USA,990000,2022,630000,2
Germany,704915,2021,400220,2
Germany,400220,2020,115500,2
USA,325000,2019,360000,2
USA,360000,2018,194000,2
USA,194000,2017,160000,2
USA,160000,2016,114000,2
USA,114000,2015,118000,2
China,89920,2014,22840,2
Japan,31107,2013,26504,2
Japan,26504,2012,13867,2
Japan,13867,2011,2400,2
Japan,2400,2010,0,2
Germany,850245,2022,704915,3
USA,630000,2021,294000,3
USA,294000,2020,325000,3
Germany,115500,2019,73323,3
Norway,74812,2018,62790,3
Norway,62790,2017,45653,3
Norway,45653,2016,34610,3
Netherlands,45018,2015,15304,3
Japan,33006,2014,31107,3
China,22840,2013,13360,3
China,13360,2012,6150,3
China,6150,2011,3464.9,3
USA,1200,2010,0,3
United Kingdom,388360,2022,323890,4
United Kingdom,323890,2021,184576,4
France,194386,2020,70400,4
Norway,81160,2019,74812,4
Germany,73323,2018,58529,4
Germany,58529,2017,26630,4
United Kingdom,40285,2016,30085,4
Norway,34610,2015,22260,4
Norway,22260,2014,8580,4
Netherlands,22801,2013,5433,4
France,9925,2012,4417,4
France,4417,2011,1006,4
France,1006,2010,0,4
France,357822,2022,313500,5
France,313500,2021,194386,5
United Kingdom,184576,2020,78850,5
United Kingdom,78850,2019,63816,5
United Kingdom,63816,2018,50455,5
Japan,54330,2017,24728,5
France,34975,2016,27661,5
United Kingdom,30085,2015,15349,5
France,17640,2014,14754,5
France,14754,2013,9925,5
Netherlands,5433,2012,956,5
Norway,2042,2011,361,5
Portugal,720,2010,0,5
Norway,173890,2022,149826,6
Norway,149826,2021,108921,6
Norway,108921,2020,81160,6
France,70400,2019,54300,6
Korea,59750,2018,14670,6
United Kingdom,50455,2017,40285,6
Germany,26630,2016,24002,6
France,27661,2015,17640,6
United Kingdom,15349,2014,4013,6
Norway,8580,2013,4281,6
Germany,4350,2012,1920,6
Germany,1920,2011,310,6
United Kingdom,504,2010,0,6
Sweden,168397,2022,137830,7
Italy,141671,2021,61361,7
Sweden,96277,2020,42500,7
Netherlands,68643,2019,28618,7
France,54300,2018,43018,7
France,43018,2017,34975,7
Japan,24728,2016,24832,7
Japan,24832,2015,33006,7
Netherlands,15304,2014,22801,7
Germany,7402,2013,4350,7
Norway,4281,2012,2042,7
United Kingdom,1434,2011,504,7
India,450,2010,0,7
Korea,167640,2022,120340,8
Sweden,137830,2021,96277,8
Netherlands,90222,2020,68643,8
Canada,51049,2019,44026,8
Japan,50295,2018,54330,8
Sweden,20612,2017,12995,8
Netherlands,23344,2016,45018,8
